,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
National Capital Region,2416391870,2483504980,2507171644,2624052475,2841837836,2988546218,3157102605,3372129301,3524902698,3522558104,3745124533,3833040760,4072189800,4339858704,4576914911,4865073608,5216091453,5507681038,5814440130,6224134457,5599931197,5845619151,6268351531,6574340155
Cordillera Administrative Region,143658283,149394641,156294714,164434850,173236667,176315299,182923099,196165501,203317240,207767713,220343710,221420475,221950621,236871362,248982342,259526063,266691916,291775205,308267122,321722276,288876582,310765858,337753055,361078914
Ilocos Region,240124758,245289940,252727880,264116263,277856799,290757292,307818091,326055249,335759337,335356395,364366356,378621382,398616600,432692177,461217885,486062080,525389666,554680762,587597251,630362667,581877977,608618834,654835322,701468660
Cagayan Valley,158218411,163979540,166495687,170783478,186059551,182540224,200542676,213644370,218872182,223636839,232748963,247587301,264876624,288512422,312814849,325728274,341540501,368250759,385061271,411513567,371102979,389954561,421045562,447073156
Central Luzon,707245644,749289527,791683392,826169061,852296755,885593565,927301530,981902705,1032623864,1039474095,1143777786,1233431610,1336963348,1417025690,1526621058,1619134911,1747565400,1929193858,2062393875,2183779631,1881277315,2021186175,2184784695,2318428274
Calabarzon,1050505077,1068135114,1120500727,1179350176,1244396888,1310160075,1369674210,1446188225,1497994676,1486472826,1638482343,1676719329,1809708699,1942476533,2054936917,2196313576,2346818115,2527658901,2706994745,2831599919,2534444265,2728935837,2942514950,3095255701
Mimaropa,124948855,129576632,148590811,163145111,169206374,184832219,191998208,210149963,220607038,230687037,232547423,241561347,254595082,265363628,292033215,305952533,321170118,341505717,370744808,386783632,357780630,369725008,392967267,411434973
Bicol,176358450,181995859,189219301,199696474,210676947,222207767,229731835,246621525,259226365,277463581,293875751,304077556,334658891,368570786,390488251,431896619,462821105,488370132,522014835,564941774,517770299,540189747,583603946,610339864
Western Visayas,323742052,331474894,340556420,360566385,388102456,407685036,430039527,458869067,480892689,507844955,531457374,564705465,605376449,631660677,665091892,715495909,758042789,820773095,860107768,913909365,825369599,874086695,955136055,1024269862
Central Visayas,382350583,398961448,406689373,424323970,453194307,485139298,507783275,549142789,577396656,594859094,666353769,713605729,779760030,841425750,903755199,958557189,1029641257,1102761503,1180945761,1254113393,1134912345,1195978557,1287438109,1381172064
Eastern Visayas,197055277,201720341,207527497,219236477,231739076,245209038,261794426,270150926,283219881,294361211,311990058,320330763,312295545,331113701,331605886,352680877,402993768,415257479,444384029,469292504,434767718,461066832,492180254,523561133
Zamboanga Peninsula,153478479,156632083,161152567,168261350,175819789,188931320,196123519,211043562,217350412,232017626,239770872,240130505,267034112,281049615,301747243,329285978,346005979,356798449,379428020,396878798,376299326,397862811,427670777,447320967
Northern Mindanao,254909002,272386379,299873812,319682061,346219338,364973391,389672303,418466127,441550494,456214263,484523975,513466854,551141548,583766826,633651974,670356960,723308958,766435831,821122015,867432424,821433093,872805112,935273521,984750304
Davao Region,286212024,293475895,309524303,331450707,352703211,367442175,384620255,408318046,424207244,445109409,474508281,493082130,528097604,560762183,611602549,660489974,721550629,785051181,841429225,900885668,833225496,882189256,954232421,1018200795
Socckskargen,175244994,176820019,194583624,206949168,218756257,223108764,237237885,252449432,264630696,269570793,278784645,292232263,315391176,343680815,364657867,377171442,394076962,424972061,454304549,469982193,449247792,472510818,503656063,521184984
Caraga,96921630,101609542,107557223,112632685,119223129,124555442,132729349,141280994,145216552,148064425,163468004,174932167,193102956,211269822,230076396,245363390,260522888,276299208,290561794,306260878,285001928,305704709,323893245,339650679
Autonomous Region in Muslim Mindanao,98017851,94136902,105745055,110826733,119752524,126327483,133711481,140661469,143109506,148174653,161737153,166414758,170707107,178542938,189848311,191818068,198444393,218512906,235393060,249157465,244524738,262884259,280267918,292227757
