Region,Predicted_Medical_Care_Expenditure,Actual_Medical_Care_Expenditure,Average_Household_Income,Business_Potential_Score
Autonomous Region in Muslim Mindanao,1045.22,1233.7747321552804,151731.47655489077,0.0
Bicol,2925.75,4665.925859644638,192944.43525501725,35.704006075564834
Cagayan Valley,3163.82,3743.7273505737285,221328.63915053947,40.22403645338903
Calabarzon,3959.43,6514.048932926829,278359.57667682925,55.32959939244352
Caraga,2398.58,3654.139547864918,189615.1240580519,25.69508258970951
Central Luzon,3256.31,6225.617201919527,270846.3069398302,41.9800645528764
Central Visayas,2141.99,4279.249725877193,242181.97450657896,20.823428896905256
Cordillera Administrative Region,2754.34,5173.119994833376,239407.8324722294,32.44959179798747
Davao,2159.22,2848.1412479432984,196914.13694469054,21.150560091133467
Eastern Visayas,2659.13,3808.7704110202712,190266.9616978385,30.64192139737991
Ilocos,2794.17,4755.582232011748,244962.48017621145,33.20580975887602
Mimaropa,3237.94,3549.2164962146367,204402.4835967592,41.631289158914
National Capital Region,6312.22,5505.922549601213,334200.7681761255,100.0
Northern Mindanao,2298.34,3456.0408921933085,206580.49767657992,23.791911904309856
Soccsksargen,1725.71,4182.104300474728,190374.62775760962,12.919878488703246
Western Visayas,5100.38,5743.154428845572,222690.26653873347,76.99183595974938
Zamboanga Peninsula,3262.62,3037.583977007365,183999.04652416022,42.099867097019164
