Region,Predicted_Meat_Expenditure,Actual_Meat_Expenditure,Average_Household_Income,Business_Potential_Score
Autonomous Region in Muslim Mindanao,6408.79,3095.148184221511,151731.47655489077,0.0
Bicol,9702.09,11058.794835740764,192944.43525501725,20.005515746606118
Cagayan Valley,10589.15,12795.455899982873,221328.63915053947,25.394060002575635
Calabarzon,15240.74,15448.753963414634,278359.57667682925,53.650658852287336
Caraga,11062.78,9433.296957856544,189615.1240580519,28.27117791563095
Central Luzon,14765.74,17251.57419712071,270846.3069398302,50.76521872243646
Central Visayas,10701.15,9424.96600877193,242181.97450657896,26.074416412140472
Cordillera Administrative Region,10975.91,10794.188840092998,239407.8324722294,27.74347647546222
Davao,12120.78,9338.414631059359,196914.13694469054,34.69811614169881
Eastern Visayas,10854.31,9299.97793705902,190266.9616978385,27.00480380222039
Ilocos,11634.87,13033.029185022026,244962.48017621145,31.74640200802335
Mimaropa,10088.05,9543.698897595963,204402.4835967592,22.350072530852945
National Capital Region,22870.75,17859.90059982862,334200.7681761255,100.0
Northern Mindanao,8738.35,8530.626161710037,206580.49767657992,14.15117033451667
Soccsksargen,9558.76,7743.138927673834,190374.62775760962,19.134841780687115
Western Visayas,10560.28,10132.291384708615,222690.26653873347,25.218685988788703
Zamboanga Peninsula,8159.09,6703.43218968924,183999.04652416022,10.63239128269052
