,Unnamed: 0,Name,Status,Population Census 1990,Population Census 2000,Population Census 2010,Population Census 2015,Population Census 2020
0,0,Agusan del Norte,Province,465458.0,552849,642196,691566,760413
1,13,Agusan del Sur,Province,420763.0,559294,656418,700653,739367
2,28,Basilan,Province,179230.0,259796,293322,346579,426207
3,41,Bukidnon,Province,843891.0,1060415,1299192,1415226,1541308
4,64,Camiguin,Province,64247.0,74232,83807,88478,92808
5,72,Cotabato,Province,0.0,869595,1078897,1187423,1275185
6,91,Davao del Norte,Province,590015.0,743811,945764,1016332,1125057
7,103,Davao del Sur,Province,1273219.0,1651405,2024206,2265579,2457430
8,115,Davao de Oro,Province,466286.0,580244,687195,736107,767547
9,127,Davao Occidental,Province,209429.0,254512,293780,316342,317159
10,133,Davao Oriental,Province,394697.0,446191,517618,558958,576343
11,145,Dinagat Islands,Province,98865.0,106951,126803,127152,128117
12,153,Interim Province,Province,0.0,89048,147611,192324,215433
13,162,Lanao del Norte,Province,614092.0,758123,930738,1019013,1086017
14,186,Lanao del Sur,Province,599982.0,800162,933260,1045429,1195518
15,227,Maguindanao del Norte,Province,0.0,539558,708950,836338,943500
16,241,Maguindanao del Sur,Province,0.0,425393,507554,637033,723758
17,266,Misamis Occidental,Province,424365.0,486723,567642,602126,617333
18,284,Misamis Oriental,Province,865051.0,1126215,1415944,1564459,1685302
19,311,Sarangani,Province,283141.0,410622,498904,544261,558946
20,319,South Cotabato,Province,789847.0,1102550,1365286,1509735,1672791
21,332,Sultan Kudarat,Province,435905.0,586505,747087,812095,854052
22,345,Sulu,Province,469971.0,619668,718290,824731,1000108
23,365,Surigao del Norte,Province,327113.0,374465,442588,485088,534636
24,387,Surigao del Sur,Province,452098.0,501808,561219,592250,642255
25,407,Tawi-Tawi,Province,228204.0,322317,366550,390715,440276
26,419,Zamboanga del Norte,Province,676862.0,823130,957997,1011393,1047455
27,447,Zamboanga del Sur,Province,1138086.0,1438011,1766814,1872473,2027902
28,476,Zamboanga Sibugay,Province,407038.0,497239,584685,633129,669840
